code,name,night_category,bank_classification,morning_recheck,rate_regime,rate_wind,rate_confidence,rate_metrics,principle,reasons,missing_data
8600,トモニホールディングス,避ける,追いかけ禁止,False,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 1105.0, 'MA25': 991.24, '25日線乖離率': 11.48, 'RSI14': 69.12, 'BB位置': 2.17, '出来高倍率': 1.15, '当日騰落率': 5.64, '3日騰落率': 2.5, '5日騰落率': 8.55, 'reversal_pattern': True, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8558,東和銀行,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 1487.0, 'MA25': 1373.52, '25日線乖離率': 8.26, 'RSI14': 61.01, 'BB位置': 2.21, '出来高倍率': 1.16, '当日騰落率': 6.82, '3日騰落率': 7.36, '5日騰落率': 12.48, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8550,栃木銀行,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 1080.0, 'MA25': 997.56, '25日線乖離率': 8.26, 'RSI14': 62.29, 'BB位置': 1.88, '出来高倍率': 0.98, '当日騰落率': 5.47, '3日騰落率': 5.06, '5日騰落率': 7.25, 'reversal_pattern': False, 'volume_confirmed': False, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8541,愛媛銀行,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 3040.0, 'MA25': 2608.8, '25日線乖離率': 16.53, 'RSI14': 70.38, 'BB位置': 1.75, '出来高倍率': 0.57, '当日騰落率': 7.23, '3日騰落率': 6.55, '5日騰落率': 11.56, 'reversal_pattern': False, 'volume_confirmed': False, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8524,北洋銀行,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 1305.0, 'MA25': 1196.72, '25日線乖離率': 9.05, 'RSI14': 66.18, 'BB位置': 2.31, '出来高倍率': 0.87, '当日騰落率': 5.07, '3日騰落率': 6.88, '5日騰落率': 7.32, 'reversal_pattern': False, 'volume_confirmed': False, 'trend_maintained': True, 'surge_excluded': True}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
8522,名古屋銀行,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 6910.0, 'MA25': 6579.2, '25日線乖離率': 5.03, 'RSI14': 62.78, 'BB位置': 1.59, '出来高倍率': 1.03, '当日騰落率': 4.38, '3日騰落率': 7.13, '5日騰落率': 6.47, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8418,山口フィナンシャルグループ,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 3197.0, 'MA25': 3037.72, '25日線乖離率': 5.24, 'RSI14': 62.15, 'BB位置': 1.97, '出来高倍率': 1.36, '当日騰落率': 5.06, '3日騰落率': 3.97, '5日騰落率': 5.93, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8411,みずほフィナンシャルグループ,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 8775.0, 'MA25': 8360.4, '25日線乖離率': 4.96, 'RSI14': 60.61, 'BB位置': 1.54, '出来高倍率': 0.96, '当日騰落率': 3.21, '3日騰落率': 3.9, '5日騰落率': 3.6, 'reversal_pattern': False, 'volume_confirmed': False, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8393,宮崎銀行,翌朝再確認,押し目監視,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 2502.0, 'MA25': 2349.12, '25日線乖離率': 6.51, 'RSI14': 59.84, 'BB位置': 1.37, '出来高倍率': 1.29, '当日騰落率': 3.65, '3日騰落率': 4.73, '5日騰落率': 4.38, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '金利追い風だけでは昇格せず、反転足または出来高の完成待ち']",[]
8392,大分銀行,避ける,追いかけ禁止,True,上昇・フラット化,追い風候補,中,"{'2Y_yield_pct': 1.651, '2Y_change_1d_bp': 0.5, '2Y_change_5d_bp': 8.2, '10Y_yield_pct': 2.873, '10Y_change_1d_bp': 1.7, '10Y_change_5d_bp': 6.0, '30Y_yield_pct': 4.002, '30Y_change_1d_bp': 1.3, '30Y_change_5d_bp': 3.6, 'spread_10y_2y_bp': 122.2, 'spread_change_1d_bp': 1.2, 'spread_change_5d_bp': -2.2, 'rapid_yield_drop': False, 'rapid_inversion': False, 'technical': {'終値': 2855.0, 'MA25': 2639.16, '25日線乖離率': 8.18, 'RSI14': 62.34, 'BB位置': 1.75, '出来高倍率': 1.5, '当日騰落率': 5.7, '3日騰落率': 5.27, '5日騰落率': 7.41, 'reversal_pattern': False, 'volume_confirmed': True, 'trend_maintained': True, 'surge_excluded': False}}",金利上昇基調でも高値追いせず、反転確認後の押し目を拾う,"['金利局面=上昇・フラット化（追い風候補、確信度=中）', '急騰除外またはテクニカル過熱']",[]
