シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,4275,カーリット,プライム,2113.0,2.37,-0.05,-12.21,-8.06,0.72,123.13,2103.0,2153.0,2064.0,2153.0,2153.0,2026.0,2026.0,2156.01,2032.77,2032.77,18,S,19.91,50.87,-5.77,41.56,2298.36,2356.0,2245.78,-1.35σ,1.14,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1928.31,2482.39,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/4275.T
2026-08-14,4088,エア・ウォーター,プライム,2534.0,0.64,-0.74,-3.06,-1.16,0.93,82.13,2564.0,2580.0,2504.0,2580.0,2586.0,2504.0,2480.0,2526.08,2490.11,2490.11,18,S,18.87,29.94,-7.96,45.29,2563.64,2497.19,2327.46,-0.78σ,0.83,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り / 底固め,2,0.0,2410.81,2780.39,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,,https://finance.yahoo.co.jp/quote/4088.T
2026-08-14,4375,セーフィー,グロース,655.0,4.8,4.8,-0.61,0.52,1.72,21.46,632.0,665.0,628.0,665.0,665.0,617.0,617.0,637.69,626.32,626.32,18,S,64.41,44.89,-9.16,51.56,651.6,678.84,772.64,+0.52σ,1.95,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,617.0,731.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/4375.T
2026-08-14,4751,サイバーエージェント,プライム,1266.0,0.88,1.36,-13.88,-12.21,0.6,57.9,1264.5,1285.5,1250.5,1285.5,1285.5,1228.0,1228.0,1332.68,1236.69,1236.69,18,S,13.52,22.68,-23.91,34.94,1442.0,1375.39,1381.76,-1.69σ,2.32,2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1179.14,1439.71,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/4751.T
2026-08-14,9005,東急,プライム,1639.0,0.09,-0.33,-2.12,-4.89,0.43,34.01,1652.0,1647.5,1633.0,1652.0,1662.0,1633.0,1633.0,1661.41,1598.59,1598.59,17,S,8.76,6.6,-22.66,36.66,1723.2,1682.3,1771.56,-1.36σ,1.01,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1587.98,1741.03,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/9005.T
2026-08-14,3984,ユーザーローカル,プライム,1594.0,4.87,8.58,-13.18,-8.46,1.23,68.93,1526.0,1603.0,1518.0,1603.0,1603.0,1451.0,1451.0,1606.89,1486.44,1486.44,17,S,33.33,46.39,-18.14,40.58,1741.32,1731.16,1757.22,-1.11σ,1.65,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1451.0,1880.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/3984.T
2026-08-14,6376,日機装,プライム,4385.0,13.16,11.86,7.08,13.17,3.25,230.59,3915.0,4530.0,3780.0,4530.0,4530.0,3670.0,3480.0,3713.74,3518.99,3518.99,17,除外,83.14,63.55,12.0,63.59,3874.8,3535.52,2553.2,+2.45σ,4.17,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,3670.0,5815.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、レンジ上限突破,急騰済み（当日急騰、25日線上方乖離、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/6376.T
2026-08-14,4901,富士フイルムホールディングス,プライム,3329.0,1.59,5.28,-14.16,-7.88,0.43,124.9,3303.0,3329.0,3275.0,3329.0,3329.0,3127.0,3127.0,3385.19,3152.29,3152.29,17,S,25.86,39.59,-19.32,40.22,3613.72,3409.71,3297.79,-1.24σ,1.01,長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,3127.0,3733.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/4901.T
2026-08-14,4755,楽天グループ,プライム,763.8,0.32,-11.6,-11.19,-6.21,0.79,29.78,763.5,779.6,756.1,779.6,850.0,744.2,744.2,781.11,745.4,745.4,17,S,13.77,61.89,-25.57,41.69,814.34,772.91,852.29,-1.48σ,1.59,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,719.13,853.15,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/4755.T
2026-08-14,9467,アルファポリス,グロース,1003.0,1.11,0.8,-0.99,-2.67,0.99,34.28,1002.0,1010.0,976.0,1010.0,1015.0,976.0,976.0,1001.66,973.88,973.88,17,S,43.55,30.09,-14.67,45.35,1030.48,1045.41,1293.82,-0.95σ,0.78,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,951.59,1105.83,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/9467.T
2026-08-14,1893,五洋建設,プライム,1438.5,0.81,2.71,-7.16,-6.35,0.49,57.25,1432.0,1448.0,1420.0,1448.0,1448.0,1390.5,1390.5,1450.98,1386.23,1386.23,17,S,23.88,42.57,-0.89,38.42,1536.04,1682.53,1688.3,-1.19σ,0.89,陰線→陽線 / 長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1352.62,1610.25,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/1893.T
2026-08-14,7746,岡本硝子,スタンダード,743.0,2.48,1.5,2.06,-1.04,0.93,32.43,738.0,755.0,725.0,755.0,755.0,716.0,701.0,722.61,703.16,703.16,16,S,69.23,46.12,8.15,46.93,750.8,805.53,768.92,+0.05σ,0.87,強気包み足 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,694.36,840.28,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、直近安値切り上げ、ATR低下、BB幅収縮、RSI安値切り上げ,,https://finance.yahoo.co.jp/quote/7746.T
2026-08-14,7318,セレンディップ・ホールディングス,グロース,1476.0,3.87,-4.59,-25.75,-22.35,0.47,162.32,1600.0,1499.0,1422.0,1600.0,1600.0,1364.0,1364.0,1669.28,1471.96,1471.96,16,S,14.62,41.62,-0.51,32.07,1900.92,2097.95,1639.12,-1.98σ,0.77,陰線→陽線 / はらみ足 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1232.53,1962.95,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/7318.T
2026-08-14,7917,ＺＡＣＲＯＳ,プライム,1306.0,2.03,1.79,-8.35,-3.5,0.73,44.99,1288.0,1309.0,1276.0,1309.0,1309.0,1257.0,1257.0,1308.78,1256.36,1256.36,16,S,23.33,43.01,-0.95,44.98,1353.4,1325.52,1271.03,-1.05σ,0.85,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1238.52,1440.96,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/7917.T
2026-08-14,8715,アニコム　ホールディングス,プライム,1139.0,1.7,-8.29,-5.24,-5.23,0.71,46.21,1159.0,1154.0,1121.0,1159.0,1225.0,1099.0,1099.0,1163.69,1133.78,1133.78,16,S,16.26,38.36,-17.45,39.65,1201.92,1265.32,1161.9,-1.83σ,1.13,陰線→陽線 / はらみ足 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1069.69,1277.62,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/8715.T
2026-08-14,1926,ライト工業,プライム,3750.0,0.13,-0.79,-1.7,-2.23,0.43,92.47,3795.0,3775.0,3735.0,3795.0,3800.0,3735.0,3660.0,3743.53,3678.06,3678.06,16,S,21.92,23.65,-2.31,39.43,3835.6,3943.73,3754.45,-0.90σ,0.5,前日安値割れ反転,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,3611.29,4027.42,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転,,https://finance.yahoo.co.jp/quote/1926.T
2026-08-14,1979,大氣社,プライム,4080.0,0.37,1.12,-6.53,-6.79,0.49,152.04,4095.0,4100.0,4025.0,4100.0,4100.0,3875.0,3875.0,4115.61,3925.23,3925.23,16,S,36.61,36.53,6.25,35.71,4377.2,4351.2,3752.7,-1.19σ,1.04,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,3851.95,4536.11,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/1979.T
2026-08-14,7138,ＴＯＲＩＣＯ,グロース,126.0,2.44,1.61,1.61,-5.6,0.66,9.06,126.0,128.0,122.0,128.0,128.0,122.0,120.0,119.33,106.56,106.56,16,S,66.67,23.5,9.13,46.65,133.48,145.73,217.32,-0.48σ,0.19,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,アンチ,1,0.0,112.41,153.17,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/7138.T
2026-08-14,6849,日本光電工業,プライム,1483.5,1.71,-2.08,-3.82,-3.8,1.14,50.98,1480.0,1489.0,1431.0,1489.0,1527.0,1342.5,1342.5,1490.91,1435.73,1435.73,16,S,69.98,39.33,-8.78,45.68,1542.04,1469.65,1577.16,-1.13σ,1.5,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1342.5,1765.5,2.0,直近2～5日まで下落、BB -1σ以下から反発、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/6849.T
2026-08-14,6638,ミマキエンジニアリング,プライム,2002.0,3.57,7.23,-10.14,-4.53,0.99,93.79,1937.0,2026.0,1933.0,2026.0,2026.0,1805.0,1805.0,1979.74,1860.93,1860.93,16,S,42.73,46.7,0.78,47.77,2097.08,1885.43,1747.45,-0.81σ,1.3,強気包み足 / 2～5日下落後の陽線,通常,買い,BB逆張り / アンチ,2,0.0,1805.0,2396.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/6638.T
2026-08-14,9735,セコム,プライム,6511.0,0.08,2.7,-3.11,-3.22,0.59,179.47,6543.0,6543.0,6437.0,6543.0,6559.0,6312.0,6312.0,6555.77,6365.28,6365.28,16,S,35.04,26.78,-15.21,44.61,6727.72,6433.16,5979.56,-1.24σ,1.38,強気包み足 / はらみ足 / 長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,6241.79,7049.41,2.0,直近2～5日まで下落、BB -1σ以下から反発、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/9735.T
