シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-21,6145,ＮＩＴＴＯＫＵ,スタンダード,2400.0,1.87,-0.95,-1.64,-5.97,0.86,118.11,2365.0,2399.0,2297.0,2399.0,2401.0,2297.0,2269.0,2373.24,2216.58,2216.58,24,S,45.37,30.87,-18.18,41.81,2552.36,2834.67,2550.68,-0.83σ,1.61,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / 底固め,2,0.0,2222.83,2754.34,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6145.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,24.0,0,0,24.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,7412,アトム,スタンダード,370.0,2.21,2.78,-1.07,-0.78,1.0,11.99,366.0,374.0,362.0,374.0,374.0,356.0,356.0,362.35,353.45,353.45,21,S,60.87,28.77,2.09,44.44,372.92,484.52,551.64,-0.14σ,1.45,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,352.02,405.96,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/7412.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,21.0,0,0,21.0,2,2,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,3905,データセクション,グロース,1840.0,6.67,8.68,-1.97,-11.19,1.03,232.37,1731.0,1894.0,1654.0,1894.0,1894.0,1602.0,1602.0,1757.11,1553.48,1553.48,21,S,60.25,23.17,-3.09,37.73,2071.84,3290.28,2400.92,-0.59σ,1.9,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1491.45,2537.1,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/3905.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,21.0,0,0,21.0,2,2,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,7532,パン・パシフィック・インターナショナルホールディングス,プライム,818.2,0.99,-10.63,-11.68,-8.31,0.52,29.94,834.3,822.0,806.3,834.3,854.5,806.3,806.3,856.2,815.02,815.02,20,S,9.45,47.83,-3.52,36.12,892.37,862.37,921.7,-1.92σ,1.38,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,773.3,908.01,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/7532.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,9960,東テク,プライム,3695.0,0.41,-2.51,-2.89,-5.12,0.48,124.47,3690.0,3700.0,3640.0,3700.0,3745.0,3630.0,3630.0,3720.97,3577.95,3577.95,20,S,24.53,23.38,-19.15,40.82,3894.2,3910.93,3861.88,-1.18σ,0.52,強気包み足 / 長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,3508.3,4068.4,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/9960.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,8795,Ｔ＆Ｄホールディングス,プライム,4795.0,2.26,-2.72,-2.66,-3.32,1.1,131.78,4776.0,4824.0,4679.0,4824.0,4897.0,4678.0,4678.0,4838.07,4719.15,4719.15,20,S,39.8,26.15,-6.4,44.37,4959.44,4656.08,4081.24,-1.36σ,1.11,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,4597.33,5190.34,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/8795.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6920,レーザーテック,プライム,35120.0,0.54,-5.13,-9.53,-12.29,0.51,2951.93,35110.0,35280.0,33760.0,35280.0,36040.0,33760.0,33200.0,35527.85,31959.21,31959.21,20,S,17.17,19.67,-23.5,40.11,40039.2,43034.4,36909.43,-1.11σ,0.68,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,30692.1,43975.8,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6920.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6013,タクマ,プライム,3105.0,0.32,-4.02,-3.57,-6.23,0.56,88.9,3110.0,3105.0,3055.0,3110.0,3200.0,3055.0,3055.0,3169.99,3046.73,3046.73,20,S,22.22,15.48,-15.51,33.38,3311.4,3358.53,2907.14,-1.53σ,0.76,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,2971.64,3371.71,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6013.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,5201,ＡＧＣ,プライム,5802.0,0.64,-2.22,-2.67,-3.32,0.8,189.62,5777.0,5802.0,5651.0,5802.0,5802.0,5618.0,5581.0,5752.35,5576.51,5576.51,19,S,41.53,50.29,1.25,40.75,6001.48,6542.37,5950.54,-0.72σ,0.81,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,アンチ,1,0.0,5517.58,6370.85,2.0,直近2～5日まで下落、RSI40以下から反転上昇、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/5201.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,9,9,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,8766,東京海上ホールディングス,プライム,7347.0,1.58,-0.33,-2.56,-5.64,0.95,186.49,7328.0,7383.0,7206.0,7383.0,7410.0,7186.0,7186.0,7443.08,7099.55,7099.55,19,S,34.7,15.59,2.19,39.73,7786.44,7499.61,6683.3,-1.28σ,0.93,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,強,買い,BB逆張り / BB＋RSI＋ストキャス / アンチ,3,0.0,7067.27,7906.46,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/8766.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,9,9,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
