シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-18,7157,ライフネット生命保険,プライム,1502.0,1.14,-2.4,-11.65,-8.88,0.93,59.35,1537.0,1532.0,1477.0,1537.0,1543.0,1477.0,1477.0,1563.49,1492.38,1492.38,20,S,10.12,42.83,-22.05,35.08,1648.36,1688.72,1900.07,-1.86σ,1.42,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1412.97,1680.06,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/7157.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,3844,コムチュア,プライム,1326.0,0.68,-8.36,-7.53,-5.15,0.9,39.01,1345.0,1341.0,1306.0,1345.0,1483.0,1306.0,1306.0,1357.53,1311.75,1311.75,20,S,11.3,51.81,-11.69,39.74,1398.04,1344.77,1482.1,-1.69σ,1.81,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1267.49,1443.02,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/3844.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,4812,電通総研,プライム,2749.0,3.5,2.23,2.0,2.13,0.89,51.73,2685.0,2770.0,2724.0,2770.0,2770.0,2651.0,2634.0,2665.72,2640.65,2640.65,19,除外,82.35,45.6,-2.05,67.03,2691.68,2348.75,2324.0,+2.32σ,1.47,陰線→陽線 / 長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り / 底固め,2,0.0,2651.0,2945.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、ATR低下、BB幅収縮、出来高減少後の増加、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4812.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,3,3,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,3769,ＧＭＯペイメントゲートウェイ,プライム,9175.0,4.15,-9.92,-10.36,-6.38,0.86,415.08,9000.0,9175.0,8816.0,9175.0,10295.0,8485.0,8485.0,9426.71,9053.73,9053.73,18,S,35.03,51.01,-6.1,42.17,9799.76,8924.53,8869.15,-1.67σ,2.24,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,8485.0,10555.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/3769.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,9005,東急,プライム,1642.0,0.49,0.27,-0.15,-4.4,0.73,32.26,1649.0,1649.5,1626.0,1649.5,1649.5,1626.0,1626.0,1645.59,1579.41,1579.41,18,S,21.19,6.95,-5.57,38.14,1717.66,1681.16,1770.72,-1.05σ,0.9,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1593.6,1738.79,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/9005.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,8715,アニコム　ホールディングス,プライム,1143.0,4.67,2.05,-7.97,-4.18,0.95,47.5,1137.0,1150.0,1105.0,1150.0,1154.0,1086.0,1086.0,1149.7,1111.7,1111.7,18,S,22.01,31.92,-10.41,43.2,1192.88,1254.69,1165.09,-1.18σ,1.35,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1071.75,1285.5,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/8715.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,9936,王将フードサービス,プライム,2832.0,0.43,-2.07,-1.97,-3.39,0.61,50.56,2859.0,2832.0,2801.0,2859.0,2889.0,2801.0,2801.0,2850.5,2772.1,2772.1,18,S,27.93,23.76,-5.22,41.12,2931.44,2833.29,3045.96,-1.24σ,1.01,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,2756.16,2983.69,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/9936.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,4704,トレンドマイクロ,プライム,5516.0,3.06,-19.49,-20.24,-13.88,0.71,284.9,5555.0,5538.0,5336.0,5555.0,5851.0,5302.0,5302.0,5986.06,5561.87,5561.87,18,S,12.74,50.43,-11.37,34.85,6404.92,6105.37,6268.38,-2.11σ,1.93,陰線→陽線 / はらみ足 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,5088.65,6370.7,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/4704.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,18.0,0,0,18.0,4,4,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,3064,ＭｏｎｏｔａＲＯ,プライム,1811.5,0.61,-2.74,-7.39,-6.18,0.52,65.76,1859.0,1814.5,1780.5,1859.0,1885.0,1780.5,1780.5,1849.38,1774.41,1774.41,17,S,14.8,22.06,-14.71,39.01,1930.78,1883.07,2017.78,-1.51σ,0.99,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1712.86,2008.78,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/3064.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,17.0,0,0,17.0,9,9,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-18,7476,アズワン,プライム,2358.5,0.51,-0.3,-0.97,-2.97,0.58,57.66,2373.5,2367.0,2333.5,2373.5,2382.0,2333.5,2310.5,2351.75,2277.38,2277.38,17,S,27.62,29.3,-2.33,46.37,2430.68,2257.39,2323.54,-0.91σ,0.5,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / 底固め,2,0.0,2272.02,2531.47,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/7476.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,17.0,0,0,17.0,9,9,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
