シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-20,6856,堀場製作所,プライム,23655.0,1.46,-7.38,-5.04,-8.32,0.63,1243.63,23830.0,23715.0,22930.0,23830.0,25880.0,22930.0,22930.0,24143.11,22848.21,22848.21,20,S,24.58,23.56,-22.18,40.21,25801.2,26038.4,20739.08,-1.38σ,0.77,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,21789.56,27385.89,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6856.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,7157,ライフネット生命保険,プライム,1489.0,4.2,0.27,-3.25,-8.49,0.77,62.08,1504.0,1511.0,1463.0,1511.0,1532.0,1428.0,1428.0,1526.31,1438.31,1438.31,20,S,20.82,33.27,-15.45,37.94,1627.2,1673.33,1895.86,-1.42σ,2.56,陰線→陽線 / 長い下ヒゲ（ハンマー） / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,1395.89,1675.23,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/7157.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6728,アルバック,プライム,7574.0,1.66,-3.76,-19.46,-15.47,0.54,546.2,7532.0,7574.0,7280.0,7574.0,8209.0,7280.0,7280.0,7984.02,7261.08,7261.08,20,S,11.9,45.18,-18.01,36.05,8960.52,9419.47,8711.48,-1.57σ,1.06,強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,6754.69,9212.61,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6728.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6787,メイコー,プライム,17540.0,1.8,-9.4,-6.65,-16.73,0.35,1996.11,17700.0,17570.0,16880.0,17700.0,20210.0,16880.0,16440.0,17820.12,15422.75,15422.75,20,S,29.18,30.94,-12.0,37.8,21065.2,29382.67,21656.5,-1.12σ,1.23,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,14545.84,23528.32,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6787.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6674,ジーエス・ユアサ　コーポレーション,プライム,5238.0,1.53,-7.8,-6.66,-6.41,0.52,300.33,5339.0,5256.0,5099.0,5339.0,5769.0,5099.0,5044.0,5285.06,5033.63,5033.63,20,S,20.75,35.51,-12.59,40.27,5596.88,6238.28,5208.98,-1.19σ,1.07,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,4787.5,6139.0,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6674.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6996,ニチコン,プライム,2738.0,1.44,-8.73,-9.79,-6.99,0.34,217.83,2801.0,2748.0,2673.0,2801.0,3150.0,2673.0,2451.0,2726.79,2549.89,2549.89,20,S,13.63,33.59,-21.39,39.88,2943.76,3461.57,2406.18,-0.94σ,0.54,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,2411.26,3391.48,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6996.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,20.0,0,0,20.0,1,1,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6806,ヒロセ電機,プライム,25570.0,1.63,-5.52,-7.74,-5.73,0.46,1029.87,25465.0,25630.0,25160.0,25630.0,27220.0,24990.0,24990.0,26187.23,25304.7,25304.7,19,S,18.8,37.58,-17.72,38.96,27123.2,26938.53,22240.75,-1.70σ,1.2,強気包み足 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,24025.2,28659.6,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、陽の包み足、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/6806.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,7,7,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,4368,扶桑化学工業,プライム,3230.0,2.7,-8.24,-7.71,-12.91,0.69,252.99,3315.0,3245.0,3070.0,3315.0,3590.0,3070.0,3070.0,3318.08,3013.4,3013.4,19,S,30.19,27.14,-20.62,38.96,3708.8,4007.07,3072.14,-1.29σ,1.55,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,なし,買い,BB逆張り / BB＋RSI＋ストキャス,2,0.0,2850.52,3988.97,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/4368.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,7,7,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,9519,レノバ,プライム,922.0,2.33,-2.74,-2.33,-3.32,1.13,40.69,959.0,940.0,894.0,959.0,975.0,894.0,864.0,904.53,868.52,868.52,19,S,34.57,57.55,8.13,46.39,953.68,1024.48,871.28,-0.52σ,1.65,陰線→陽線 / 長い下ヒゲ（ハンマー） / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,BB逆張り / 底固め / アンチ,3,0.0,860.97,1044.07,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、ATR低下、出来高減少後の増加、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/9519.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,7,7,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,8002,丸紅,プライム,4856.0,1.25,-1.24,-2.33,-4.39,0.66,150.54,4846.0,4864.0,4765.0,4864.0,4969.0,4745.0,4745.0,4877.73,4688.25,4688.25,19,S,35.24,37.7,2.88,42.27,5079.2,5086.83,5048.96,-1.11σ,0.53,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,通常,買い,BB逆張り / アンチ,2,0.0,4630.2,5307.61,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,,https://finance.yahoo.co.jp/quote/8002.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,19.0,0,0,19.0,7,7,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
