code,name,market,industry
2112,塩水港精糖,スタンダード,食料品
2114,フジ日本,スタンダード,食料品
2117,ウェルネオシュガー,プライム,食料品
2120,ＬＩＦＵＬＬ,プライム,サービス業
2121,ＭＩＸＩ,プライム,情報・通信業
2122,インタースペース,スタンダード,サービス業
2124,ジェイエイシーリクルートメント,プライム,サービス業
2127,日本Ｍ＆Ａセンターホールディングス,プライム,サービス業
2130,メンバーズ,プライム,サービス業
2134,北浜キャピタルパートナーズ,スタンダード,サービス業
2136,ヒップ,スタンダード,サービス業
2138,クルーズ,スタンダード,情報・通信業
2139,中広,スタンダード,サービス業
2146,ＵＴグループ,プライム,サービス業
2148,アイティメディア,プライム,サービス業
2152,幼児活動研究会,スタンダード,サービス業
2153,Ｅ・Ｊホールディングス,プライム,サービス業
2154,オープンアップグループ,プライム,サービス業
2156,セーラー広告,スタンダード,サービス業
2157,コシダカホールディングス,プライム,サービス業
2158,ＦＲＯＮＴＥＯ,グロース,サービス業
2160,ジーエヌアイグループ,グロース,医薬品
2162,ｎｍｓ　ホールディングス,スタンダード,サービス業
2163,アルトナー,プライム,サービス業
2164,地域新聞社,スタンダード,サービス業
2168,パソナグループ,プライム,サービス業
2169,ＣＤＳ,スタンダード,サービス業
2170,リンクアンドモチベーション,プライム,サービス業
2173,博展,グロース,サービス業
2175,エス・エム・エス,プライム,サービス業
2179,成学社,スタンダード,サービス業
2180,サニーサイドアップグループ,スタンダード,サービス業
2181,パーソルホールディングス,プライム,サービス業
2183,リニカル,スタンダード,サービス業
2185,シイエム・シイ,スタンダード,サービス業
2186,ソーバル,スタンダード,サービス業
2193,クックパッド,スタンダード,サービス業
2195,アミタホールディングス,グロース,サービス業
2198,アイ・ケイ・ケイホールディングス,プライム,サービス業
2201,森永製菓,プライム,食料品
2204,中村屋,スタンダード,食料品
2206,江崎グリコ,プライム,食料品
2207,ｍｅｉｔｏ,プライム,食料品
2208,ブルボン,スタンダード,食料品
2209,井村屋グループ,プライム,食料品
2211,不二家,プライム,食料品
2212,山崎製パン,プライム,食料品
2215,第一屋製パン,スタンダード,食料品
2216,カンロ,スタンダード,食料品
2217,モロゾフ,プライム,食料品
2220,亀田製菓,プライム,食料品
2221,岩塚製菓,スタンダード,食料品
2222,寿スピリッツ,プライム,食料品
2224,コモ,スタンダード,食料品
2226,湖池屋,スタンダード,食料品
2229,カルビー,プライム,食料品
2264,森永乳業,プライム,食料品
2266,六甲バター,プライム,食料品
2267,ヤクルト本社,プライム,食料品
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード,食料品
2269,明治ホールディングス,プライム,食料品
2270,雪印メグミルク,プライム,食料品
2281,プリマハム,プライム,食料品
2282,日本ハム,プライム,食料品
2286,林兼産業,スタンダード,食料品
2288,丸大食品,プライム,食料品
2291,福留ハム,スタンダード,食料品
2292,Ｓ　Ｆｏｏｄｓ,プライム,食料品
2293,滝沢ハム,スタンダード,食料品
2294,柿安本店,プライム,食料品
2296,伊藤ハム米久ホールディングス,プライム,食料品
2300,きょくとう,スタンダード,サービス業
2301,学情,プライム,サービス業
2303,ドーン,スタンダード,情報・通信業
2304,ＣＳＳホールディングス,スタンダード,サービス業
2305,スタジオアリス,スタンダード,サービス業
2307,クロスキャット,プライム,情報・通信業
2311,エプコ,スタンダード,サービス業
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード,情報・通信業
2317,システナ,プライム,情報・通信業
2321,ソフトフロントホールディングス,グロース,情報・通信業
2323,ｆｏｎｆｕｎ,スタンダード,情報・通信業
2325,ＮＪＳ,プライム,サービス業
2326,デジタルアーツ,プライム,情報・通信業
2327,日鉄ソリューションズ,プライム,情報・通信業
2329,東北新社,スタンダード,情報・通信業
2330,フォーサイド,スタンダード,情報・通信業
2331,ＡＬＳＯＫ,プライム,サービス業
2332,クエスト,スタンダード,情報・通信業
2334,イオレ,グロース,サービス業
2335,キューブシステム,プライム,情報・通信業
2337,いちご,プライム,不動産業
2338,クオンタムソリューションズ,スタンダード,情報・通信業
2340,極楽湯ホールディングス,スタンダード,サービス業
2341,アルバイトタイムス,スタンダード,サービス業
2342,トランスジェニックグループ,スタンダード,サービス業
2345,ＨＯＤＬ１,スタンダード,情報・通信業
2349,エヌアイデイ,スタンダード,情報・通信業
2351,ＡＳＪ,スタンダード,情報・通信業
2353,日本駐車場開発,プライム,不動産業
2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード,情報・通信業
2359,コア,プライム,情報・通信業
2370,メディネット,グロース,サービス業
2371,カカクコム,プライム,サービス業
2373,ケア２１,スタンダード,サービス業
2375,ギグワークス,スタンダード,サービス業
2376,サイネックス,スタンダード,サービス業
2378,ルネサンス,プライム,サービス業
2379,ディップ,プライム,サービス業
2384,ＳＢＳホールディングス,プライム,陸運業
2385,総医研ホールディングス,グロース,サービス業
2388,ウェッジホールディングス,グロース,その他金融業
2391,プラネット,スタンダード,サービス業
2393,日本ケアサプライ,スタンダード,サービス業
2395,新日本科学,プライム,サービス業
2404,鉄人化ホールディングス,スタンダード,サービス業
2408,ＫＧ情報,スタンダード,サービス業
2410,キャリアデザインセンター,プライム,サービス業
2411,ゲンダイエージェンシー,スタンダード,情報・通信業
2413,エムスリー,プライム,サービス業
2415,ヒューマンホールディングス,スタンダード,サービス業
2418,ツカダ・グローバルホールディング,スタンダード,サービス業
