コード,銘柄名,最終判断,最終分類,注文方式,買いゾーン下限,買いゾーン上限,反転確認高値,逆指値発動価格,追いかけ禁止価格,損切り価格,利確目標,推奨株数,必要資金,最大想定損失,RR,分析評価,運用評価,総合順位点,RSI,BB位置,出来高倍率,暴落リバウンド型,ファンダメンタルスコア,テクニカルスコア,反転確認スコア,市場環境スコア,業種環境スコア,ニュース影響スコア,資金・リスク評価,分析コメント,運用コメント,注文理由,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由,ファンダメンタル評価,ファンダメンタル十分,ファンダメンタル不足理由,売上高前年同期比,営業利益前年同期比,経常・純利益前年比,EPS,PER,PBR,ROE,自己資本比率,配当利回り,利益状態,業績4象限,配当性向,配当判定,ファンダメンタル加減点理由,今期会社予想,直近決算発表日,次回決算予定日,時価総額,総合判定,判定理由,業績修正,重要適時開示,ファンダメンタル取得元,ファンダメンタル参照先,ファンダメンタル取得日時,stocknote_評価,stocknote_信頼度,stocknote_要約,stocknote_逆張りスコア,stocknote_RSI,stocknote_BB位置,stocknote_トレンド,stocknote_PER,stocknote_PBR,stocknote_財務健全性,stocknote_売上成長,stocknote_利益成長,stocknote_推奨買い価格,stocknote_予想売り価格,stocknote_最終目標価格,stocknote_注意点
6707,サンケン電気,見送り,見送り,見送り,8116.58,8372.14,8487.0,8538.11,8794.25,7767.92,10078.49,0,0.0,0.0,2.53,A+,見送り,10.28,43.12,-0.63σ,1.14,False,データなし,14.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,押し目と反転足を確認。ファンダメンタル=データ不足、RSI 43.1、出来高 1.14倍、BB -0.63σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,14.0,17,17,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
4275,カーリット,見送り,見送り,見送り,2097.7,2127.0,2153.0,2164.72,2229.66,1988.93,2516.29,0,0.0,0.0,2.82,A+,見送り,10.26,42.42,-1.11σ,0.63,False,データなし,15.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,押し目と反転足を確認。ファンダメンタル=データ不足、RSI 42.4、出来高 0.63倍、BB -1.11σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,15.0,10,10,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,見送り,見送り,見送り,2960.98,3045.14,3450.0,3466.83,3570.84,2861.37,4677.75,0,0.0,0.0,2.37,B,見送り,10.0,56.95,+1.80σ,3.43,False,データなし,10.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,反転条件の完成待ち。ファンダメンタル=データ不足、RSI 57.0、出来高 3.43倍、BB +1.80σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,10.0,49,49,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
7747,朝日インテック,見送り,見送り,見送り,3440.36,3500.58,4138.0,4150.04,4274.54,3282.83,5884.47,0,0.0,0.0,2.17,C,見送り,10.0,72.21,+2.37σ,3.28,False,データなし,10.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,急騰済みを最優先して除外。ファンダメンタル=データ不足、RSI 72.2、出来高 3.28倍、BB +2.37σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,10.0,49,49,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
8995,誠建設工業,見送り,見送り,見送り,748.78,831.22,1980.0,1996.49,2078.93,494.49,5000.48,0,0.0,0.0,2.03,C,見送り,10.0,80.88,+3.12σ,4.37,False,データなし,10.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,急騰済みを最優先して除外。ファンダメンタル=データ不足、RSI 80.9、出来高 4.37倍、BB +3.12σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,10.0,49,49,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6787,メイコー,見送り,見送り,見送り,18108.73,19190.67,19600.0,19816.39,20898.34,16233.91,26981.35,0,0.0,0.0,2.44,A,見送り,9.72,41.29,-0.71σ,0.86,True,データなし,18.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,暴落リバウンド型のため主力不可。ファンダメンタル=データ不足、RSI 41.3、出来高 0.86倍、BB -0.71σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,18.0,3,3,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
4165,プレイド,見送り,見送り,見送り,545.79,560.28,702.0,704.9,726.04,515.92,1082.85,0,0.0,0.0,2.1,C,見送り,9.58,72.97,+2.93σ,2.29,False,データなし,11.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,急騰済みを最優先して除外。ファンダメンタル=データ不足、RSI 73.0、出来高 2.29倍、BB +2.93σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,11.0,30,30,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6498,キッツ,見送り,見送り,見送り,2041.05,2094.0,2098.0,2108.79,2172.05,1941.63,2443.11,0,0.0,0.0,2.29,A+,見送り,9.22,42.4,-0.79σ,0.61,False,データなし,14.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,押し目と反転足を確認。ファンダメンタル=データ不足、RSI 42.4、出来高 0.61倍、BB -0.79σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,14.0,17,17,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6656,インスペック,見送り,見送り,見送り,847.29,891.75,912.0,920.89,965.36,770.6,1221.48,0,0.0,0.0,2.28,B,見送り,9.1,42.67,-0.61σ,0.55,True,データなし,18.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,出来高0.6倍未満のため主力不可。ファンダメンタル=データ不足、RSI 42.7、出来高 0.55倍、BB -0.61σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,18.0,3,3,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
6524,湖北工業,見送り,見送り,見送り,4189.26,4345.27,5150.0,5181.2,5337.21,3952.28,7639.05,0,0.0,0.0,2.18,C,見送り,9.02,57.17,+1.68σ,1.01,False,データなし,13.0,3,-9.0,0,0.0,強いリスクオフ・通常の25%,急騰済みを最優先して除外。ファンダメンタル=データ不足、RSI 57.2、出来高 1.01倍、BB +1.68σ,方式別実績はサンプル蓄積中。市場=強いリスクオフ、ニュース重大度と300万円の損失・投入・現金・保有数制約を適用,強いリスクオフのため新規主力買い停止,0.0,0.0,13.0,22,22,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能,データ不足,False,公式取得元または参照先なし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,評価不能,評価不能,,評価不能,,データなし,データなし,データなし,データなし,データ不足,公式取得元または参照先なし,,,データなし,データなし,データなし,,,,,,,,,,,,,,,,
