シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-21,7138,ＴＯＲＩＣＯ,グロース,193.0,34.97,51.97,53.17,43.82,3.35,12.84,158.0,193.0,150.0,193.0,193.0,124.0,120.0,114.55,99.2,99.2,9,除外,100.0,44.02,11.1,76.54,134.2,141.24,216.29,+4.11σ,17.08,なし,なし,買い,底固め,1,0.0,124.0,331.0,2.0,ストキャス売られ過ぎから反転、%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、ATR低下、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、3営業日急騰、5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/7138.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6522,アスタリスク,グロース,2008.0,-0.5,-0.84,-7.25,16.88,0.4,205.58,2044.0,2068.0,1986.0,2068.0,2118.0,1936.0,1422.0,1574.54,1363.23,1363.23,9,除外,27.3,64.93,-7.64,58.06,1717.96,1343.96,856.54,+1.05σ,0.35,強気包み足 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,1699.64,2624.73,2.0,直近2～5日まで下落、陽の包み足、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/6522.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,9508,九州電力,プライム,1963.5,2.19,2.69,4.86,7.43,1.1,50.09,1947.5,1968.0,1913.0,1968.0,1968.0,1851.5,1761.5,1792.54,1744.64,1744.64,9,除外,96.8,65.36,15.23,69.66,1827.74,1730.91,1731.44,+2.57σ,0.89,強気包み足,なし,買い,底固め,1,0.0,1851.5,2187.5,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/9508.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,9506,東北電力,プライム,1330.5,1.41,1.88,6.1,10.39,1.1,29.02,1319.5,1330.5,1298.5,1330.5,1330.5,1249.0,1133.5,1170.26,1118.52,1118.52,9,除外,100.0,88.5,4.45,80.98,1205.28,1096.39,1128.16,+2.10σ,1.1,強気包み足,なし,買い,底固め,1,0.0,1249.0,1493.5,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/9506.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,9.0,0,0,9.0,144,144,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,3539,ＪＭホールディングス,プライム,1483.0,0.68,1.51,3.49,6.81,0.71,30.85,1488.0,1492.0,1470.0,1492.0,1492.0,1422.0,1322.0,1363.1,1319.89,1319.89,8,除外,90.62,82.38,22.0,75.02,1388.48,1302.6,1494.54,+1.78σ,0.4,陰線→陽線 / 長い下ヒゲ（ハンマー）,通常,買い,底固め / アンチ,2,0.0,1422.0,1605.0,2.0,%K反転、%D方向改善、長い下ヒゲ反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/3539.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,8.0,0,0,8.0,188,188,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,1379,ホクト,プライム,2112.0,0.14,4.35,5.92,7.54,0.62,41.65,2109.0,2122.0,2096.0,2122.0,2122.0,1963.0,1855.0,1905.49,1838.23,1838.23,8,除外,94.12,69.15,24.91,72.99,1963.84,1899.31,1942.62,+2.07σ,1.02,強気包み足 / 長い下ヒゲ（ハンマー）,なし,買い,底固め,1,0.0,1963.0,2410.0,2.0,%D方向改善、陽の包み足、長い下ヒゲ反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/1379.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,8.0,0,0,8.0,188,188,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,1514,住石ホールディングス,スタンダード,706.0,4.28,5.85,9.29,15.75,1.68,26.76,679.0,712.0,667.0,712.0,712.0,635.0,557.0,578.94,541.52,541.52,8,除外,93.41,85.04,0.43,72.98,609.92,594.61,683.16,+2.40σ,2.41,強気包み足,なし,買い,底固め,1,0.0,635.0,848.0,2.0,%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/1514.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,8.0,0,0,8.0,188,188,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,6869,シスメックス,プライム,1976.5,3.02,5.05,3.02,15.11,1.06,65.84,1945.0,1976.5,1907.0,1976.5,1976.5,1835.5,1494.0,1602.48,1450.65,1450.65,7,除外,100.0,73.19,2.7,70.39,1717.08,1529.63,1503.66,+1.46σ,1.14,陰線→陽線 / 強気包み足,強,買い,アンチ,1,0.0,1835.5,2258.5,2.0,%K反転、%D方向改善、陽の包み足、直近下落なし（B以下に制限） / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/6869.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,7.0,0,0,7.0,222,222,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,9009,京成電鉄,プライム,1354.5,2.07,5.04,5.82,5.65,0.9,29.57,1330.0,1356.5,1330.0,1356.5,1356.5,1262.5,1213.5,1261.75,1235.51,1235.51,6,除外,97.98,75.24,20.29,72.76,1282.02,1170.75,1220.79,+2.53σ,1.05,なし,なし,買い,底固め,1,0.0,1262.5,1538.5,2.0,%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/9009.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-21,9107,川崎汽船,プライム,3405.0,7.28,8.4,12.38,17.53,2.05,94.25,3191.0,3410.0,3217.0,3410.0,3410.0,3020.0,2685.0,2772.17,2606.43,2606.43,6,除外,99.07,86.72,14.23,83.14,2897.16,2666.47,2468.05,+2.82σ,1.85,なし,なし,買い,底固め,1,0.0,3020.0,4175.0,2.0,%K反転、%D方向改善、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/9107.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,6.0,0,0,6.0,238,238,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
