acquired_at,code,source,document_id,source_reference,status,reason
2026-08-14T17:41:25.813592+00:00,8601,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3482,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1419,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1833,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6777,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2120,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3245,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2157,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9274,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8818,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4674,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7860,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7979,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5208,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5232,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5105,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1938,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6378,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6330,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7611,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6951,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7059,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6981,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6674,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7600,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6418,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4588,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4996,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9166,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9227,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9552,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5246,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5706,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3284,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1979,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4480,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6479,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3632,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7003,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9021,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6920,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1447,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1514,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6742,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6995,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6480,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6356,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6264,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6433,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1377,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6962,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6971,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8697,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2471,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1926,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2288,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9449,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8616,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2531,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1946,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7719,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5367,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9880,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7717,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5121,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1961,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5202,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6146,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5802,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7972,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7803,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7995,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8253,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6369,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8368,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8366,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3993,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6331,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6387,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6440,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6383,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4587,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5930,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7779,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6800,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6794,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7004,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3436,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6999,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3395,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3778,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3687,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4028,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6859,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6994,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6779,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9008,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1786,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1945,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6762,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3864,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8167,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6905,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6337,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7014,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6834,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4392,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7198,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,7777,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6425,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6666,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6507,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,4182,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2607,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3399,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6376,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2158,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,2334,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,8628,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,1975,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9793,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9304,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9551,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,3201,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5243,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6071,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,6055,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,9743,EDINET,,,failure,EDINET_API_KEY未設定
2026-08-14T17:41:25.813592+00:00,5288,EDINET,,,failure,EDINET_API_KEY未設定
