シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,7138,ＴＯＲＩＣＯ,グロース,127.0,3.25,2.42,2.42,-4.88,0.66,16,S,83.33,25.17,10.8,47.42,133.52,145.75,217.33,-0.40σ,0.19,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,,,,113.41,154.17,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/7138.T
2026-08-14,4206,アイカ工業,プライム,4130.0,-0.53,-1.81,2.1,8.13,0.68,16,S,62.5,70.47,-3.0,71.02,3819.48,3616.48,3612.03,+1.36σ,0.49,弱気包み足,強,売り,,,,4269.82,3850.37,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、RSI強反転、BB±1σ反転、包み足,,https://finance.yahoo.co.jp/quote/4206.T
2026-08-14,9416,ビジョン,プライム,1040.0,-1.05,1.27,1.76,2.08,1.22,16,S,68.66,55.44,-1.59,56.92,1018.8,1028.97,1159.98,+1.11σ,0.88,陽線→陰線 / 前日高値超え反転,通常,売り,,,,1072.07,975.85,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA75傾き一致、RSI強反転、RSIゾーン反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/9416.T
2026-08-14,8919,カチタス,プライム,3560.0,-0.14,1.57,7.07,6.49,0.56,15,S,71.43,52.32,-3.78,63.67,3343.0,3368.2,3208.5,+1.85σ,0.59,なし,通常,売り,,,,3759.53,3160.95,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、RSIゾーン反転、BB±2σ反転、BB±1σ反転,,https://finance.yahoo.co.jp/quote/8919.T
2026-08-14,9010,富士急行,プライム,2736.0,-0.26,-0.29,-0.94,1.8,0.55,15,S,44.83,53.08,-9.0,59.28,2687.56,2421.05,2309.2,+0.39σ,0.54,弱気包み足 / はらみ足,強,売り,,,,2847.15,2513.7,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、RSI強反転、RSIゾーン反転、包み足,,https://finance.yahoo.co.jp/quote/9010.T
2026-08-13,3659,ネクソン,プライム,2521.5,-0.2,3.77,8.06,6.33,1.05,15,S,97.69,56.37,-1.15,61.5,2371.5,2341.8,3019.9,+1.07σ,1.02,はらみ足,通常,売り,,,,2655.44,2253.63,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA75傾き一致、RSI強反転、RSIゾーン反転、BB±1σ反転,,https://finance.yahoo.co.jp/quote/3659.T
2026-08-14,4116,大日精化工業,プライム,1344.0,-1.68,-0.88,6.16,16.56,1.16,15,S,86.75,84.59,-0.33,78.55,1153.08,1087.92,1077.59,+1.59σ,0.83,陽線→陰線 / 前日高値超え反転,通常,売り,,,,1399.5,1233.01,2.0,%D方向一致、%K押し・戻りから反転、RSI強反転、BB±2σ反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/4116.T
2026-08-14,3397,トリドールホールディングス,プライム,4208.0,-2.12,-1.24,0.5,0.48,2.47,15,S,30.06,36.41,-9.65,52.74,4188.08,3949.91,4181.21,-0.13σ,2.68,陽線→陰線 / 弱気包み足 / 前日高値超え反転,強,売り,,,,4436.0,3752.0,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、RSIゾーン反転、包み足、ローソク色反転、出来高1.5倍以上,,https://finance.yahoo.co.jp/quote/3397.T
2026-08-14,5463,丸一鋼管,プライム,1765.0,1.0,0.94,-4.41,-1.77,0.72,15,S,45.48,51.15,0.11,46.8,1796.84,1734.99,1562.15,-0.91σ,0.89,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,,,,1685.18,1924.63,2.0,直近2～5日まで下落、BB -1σ以下から反発、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/5463.T
2026-08-14,8830,住友不動産,プライム,3378.0,-1.0,-1.08,-4.74,-7.53,0.65,15,S,6.45,14.68,-9.4,32.3,3652.96,3828.04,4085.53,-1.56σ,1.05,弱気包み足,強,売り,,,,3565.0,3004.0,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、200日線方向一致、MA25傾き一致、MA75傾き一致、包み足,,https://finance.yahoo.co.jp/quote/8830.T
2026-08-14,9552,クオンツ総研ホールディングス,プライム,994.0,-1.78,2.69,1.43,8.16,0.62,15,S,68.12,82.95,-1.64,61.34,919.04,890.56,948.55,+1.19σ,1.3,陽線→陰線 / はらみ足,強,売り,,,,1056.51,868.98,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、RSI強反転、RSIゾーン反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/9552.T
2026-08-14,9708,帝国ホテル,スタンダード,987.0,-0.5,-0.8,0.41,-0.63,0.63,15,S,52.17,31.27,-4.58,45.34,993.28,1039.4,1210.78,-0.46σ,0.37,陽線→陰線 / 弱気包み足 / 前日高値超え反転,通常,売り,,,,1010.7,939.6,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA25傾き一致、MA75傾き一致、RSIゾーン反転、包み足、ローソク色反転,,https://finance.yahoo.co.jp/quote/9708.T
2026-08-14,8179,ロイヤルホールディングス,プライム,1304.0,-3.05,-4.12,0.23,0.38,1.16,15,S,19.54,44.86,-13.75,50.72,1299.04,1281.93,1349.3,-0.13σ,1.1,陽線→陰線,強,売り,,,,1374.0,1164.0,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、200日線方向一致、MA75傾き一致、RSIゾーン反転、BB±1σ反転、ローソク色反転,,https://finance.yahoo.co.jp/quote/8179.T
2026-08-14,2918,わらべや日洋ホールディングス,プライム,2832.0,-0.04,1.69,3.02,3.29,0.7,15,S,89.86,46.18,-0.16,63.93,2741.76,2678.95,3028.33,+1.04σ,1.1,前日高値超え反転,通常,売り,,,,2902.48,2691.03,2.0,%D方向一致、%K押し・戻りから反転、200日線方向一致、MA75傾き一致、RSI強反転、RSIゾーン反転、BB±1σ反転,,https://finance.yahoo.co.jp/quote/2918.T
2026-08-14,6376,日機装,プライム,4285.0,10.58,9.31,4.64,10.7,2.39,15,除外,99.19,65.16,13.61,61.64,3870.8,3534.19,2552.7,+2.08σ,1.65,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,,,,3670.0,5515.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,急騰済み（当日急騰、25日線上方乖離、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/6376.T
2026-08-14,6840,ＡＫＩＢＡホールディングス,スタンダード,736.0,5.44,-12.38,-0.27,6.29,1.13,14,S,36.59,71.81,2.32,51.43,692.44,799.37,576.45,+0.79σ,1.81,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,,,,638.12,931.76,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転,,https://finance.yahoo.co.jp/quote/6840.T
2026-08-14,7746,岡本硝子,スタンダード,745.0,2.76,1.78,2.34,-0.78,0.93,14,S,74.36,46.64,8.67,47.4,750.88,805.56,768.93,+0.15σ,0.81,強気包み足 / 2～5日下落後の陽線,強,買い,,,,696.36,842.28,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線,,https://finance.yahoo.co.jp/quote/7746.T
2026-08-14,4819,デジタルガレージ,プライム,2307.0,-0.77,0.92,-0.22,0.5,1.25,14,S,29.38,40.12,-6.96,54.25,2295.48,2173.15,2420.86,-0.18σ,1.3,陽線→陰線 / 前日高値超え反転,強,売り,,,,2443.97,2033.07,2.0,%D方向一致、%K押し・戻りから反転、%Kが%Dをクロス、200日線方向一致、MA75傾き一致、RSIゾーン反転、ローソク色反転、出来高1.3倍,,https://finance.yahoo.co.jp/quote/4819.T
