シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,3854,アイル,プライム,2439.0,5.36,7.07,10.11,5.3,2.24,64.67,2323.0,2460.0,2315.0,2460.0,2460.0,2206.0,2195.0,2229.61,2167.86,2167.86,11,除外,92.08,40.84,10.99,63.99,2316.24,2349.95,2396.88,+2.39σ,2.06,強気包み足,通常,買い,底固め / アンチ,2,0.0,2206.0,2905.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3854.T
2026-08-14,3810,サイバーステップホールディングス,スタンダード,212.0,11.58,14.59,18.44,21.06,1.75,16.04,197.0,214.0,186.0,214.0,214.0,168.0,146.0,154.07,138.85,138.85,11,除外,95.65,72.55,12.34,65.43,175.12,211.69,264.14,+2.80σ,1.79,強気包み足,なし,買い,底固め,1,0.0,168.0,300.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、ATR低下、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、3営業日急騰、5営業日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3810.T
2026-08-14,8897,ＭＩＲＡＲＴＨホールディングス,プライム,459.0,1.55,3.61,13.33,9.89,0.79,8.87,454.0,459.0,452.0,459.0,459.0,408.0,402.0,402.52,386.39,386.39,11,除外,100.0,46.2,8.98,75.74,417.68,411.01,402.44,+2.50σ,1.93,強気包み足,なし,買い,底固め,1,0.0,408.0,561.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8897.T
2026-08-14,7762,シチズン時計,プライム,2751.0,3.0,7.0,11.92,18.96,1.05,107.74,2707.0,2770.0,2657.0,2770.0,2770.0,2339.0,1975.0,2121.87,1921.58,1921.58,11,除外,95.59,88.26,24.64,70.64,2312.48,2248.89,1752.12,+2.14σ,2.08,強気包み足,通常,買い,底固め / アンチ,2,0.0,2339.0,3575.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/7762.T
2026-08-14,7389,あいちフィナンシャルグループ,プライム,1868.0,6.74,18.75,12.94,10.49,2.06,83.66,1768.0,1883.0,1711.0,1883.0,1883.0,1573.0,1573.0,1642.32,1552.8,1552.8,11,除外,95.16,37.08,14.89,65.09,1690.68,1508.39,1256.53,+1.52σ,2.11,強気包み足,なし,買い,底固め,1,0.0,1573.0,2458.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、BB幅収縮、出来高減少後の増加、レンジ上限突破,急騰済み（3営業日急騰、25日線上方乖離）,https://finance.yahoo.co.jp/quote/7389.T
2026-08-14,3778,さくらインターネット,プライム,3870.0,5.02,16.74,10.73,24.01,1.23,199.59,3715.0,3880.0,3635.0,3880.0,3880.0,3285.0,2726.0,2866.98,2554.27,2554.27,11,除外,98.32,78.77,8.62,70.81,3120.6,3022.69,3006.64,+2.21σ,1.3,強気包み足,なし,買い,底固め,1,0.0,3285.0,5040.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（3営業日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3778.T
2026-08-14,3176,三洋貿易,プライム,1170.0,4.0,8.23,15.16,28.12,1.78,38.23,1128.0,1173.0,1105.0,1173.0,1173.0,1000.0,809.0,825.65,713.15,713.15,11,除外,98.57,90.49,2.89,87.07,913.2,824.57,811.5,+2.06σ,1.96,強気包み足,なし,買い,底固め,1,0.0,1000.0,1510.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/3176.T
2026-08-14,3276,ＪＰＭＣ,プライム,2245.0,0.04,0.04,0.04,18.22,0.02,51.34,2245.0,2245.0,2244.0,2245.0,2245.0,2244.0,1632.0,1756.26,1537.51,1537.51,11,除外,100.0,93.24,7.84,95.01,1899.08,1509.56,1378.1,+1.23σ,1.57,陰線→陽線 / 強気包み足 / はらみ足,通常,買い,底固め / アンチ,2,0.0,2168.0,2399.01,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/3276.T
2026-08-14,3156,レスター,プライム,5510.0,9.11,7.62,24.94,34.77,1.97,259.4,5110.0,5540.0,5030.0,5540.0,5540.0,4355.0,3390.0,3561.39,2943.79,2943.79,11,除外,97.47,87.02,-1.05,79.83,4088.4,3935.73,3227.92,+2.16σ,1.47,陰線→陽線 / 強気包み足,なし,買い,底固め,1,0.0,4355.0,7820.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、5営業日急騰、25日線上方乖離、高RSI、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/3156.T
2026-08-14,3040,ソリトンシステムズ,プライム,2563.0,4.87,24.12,28.21,25.79,2.2,85.96,2488.0,2593.0,2404.0,2593.0,2593.0,1985.0,1875.0,1880.3,1710.34,1710.34,11,除外,95.25,81.72,19.81,84.34,2037.56,2027.13,1939.22,+3.02σ,2.34,強気包み足,なし,買い,底固め,1,0.0,1985.0,3719.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（3営業日急騰、5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3040.T
2026-08-14,5445,東京鐵鋼,プライム,2025.0,1.2,3.0,3.79,3.93,1.35,33.27,2007.0,2030.0,1985.0,2030.0,2030.0,1946.0,1895.0,1928.26,1900.52,1900.52,11,除外,95.33,67.49,4.41,67.35,1948.36,1870.81,1955.27,+2.49σ,1.08,強気包み足 / 前日安値割れ反転,通常,買い,底固め / アンチ,2,0.0,1946.0,2183.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/5445.T
2026-08-14,8167,リテールパートナーズ,プライム,1448.0,2.04,2.4,7.66,5.84,1.39,35.15,1440.0,1458.0,1409.0,1458.0,1458.0,1346.0,1306.0,1337.08,1302.72,1302.72,11,除外,92.37,59.19,-0.33,65.53,1368.12,1328.23,1326.62,+2.23σ,2.06,強気包み足,なし,買い,底固め,1,0.0,1346.0,1652.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8167.T
2026-08-14,8043,スターゼン,プライム,1507.0,1.21,9.2,13.05,12.67,1.31,35.13,1503.0,1518.0,1472.0,1518.0,1518.0,1341.0,1282.0,1289.11,1228.93,1228.93,10,除外,95.07,59.36,1.35,78.5,1337.52,1223.03,1245.45,+2.62σ,1.52,長い下ヒゲ（ハンマー）,なし,買い,底固め,1,0.0,1341.0,1839.0,2.0,%K反転、%D方向改善、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8043.T
2026-08-14,8281,ゼビオホールディングス,プライム,1218.0,6.28,7.31,12.26,9.82,4.6,28.7,1146.0,1251.0,1119.0,1251.0,1251.0,1090.0,1067.0,1081.9,1050.3,1050.3,10,除外,82.07,47.64,7.15,74.85,1109.08,1058.93,1062.34,+3.31σ,7.58,強気包み足 / 前日安値割れ反転,なし,買い,底固め,1,0.0,1090.0,1474.0,2.0,%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8281.T
2026-08-14,8995,誠建設工業,スタンダード,1580.0,23.44,39.08,56.44,61.73,2.73,146.79,1619.0,1580.0,1180.0,1619.0,1619.0,985.0,790.0,809.47,602.15,602.15,10,除外,93.85,59.51,6.37,74.03,976.96,951.11,1104.8,+2.72σ,4.26,陰線→陽線 / 強気包み足 / 前日安値割れ反転,強,買い,アンチ,1,0.0,985.0,2770.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）,急騰済み（当日急騰、3営業日急騰、5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/8995.T
2026-08-14,4475,ＨＥＮＮＧＥ,グロース,1529.0,5.89,1.59,1.46,13.57,1.3,73.63,1457.0,1547.0,1451.0,1547.0,1547.0,1400.0,1232.0,1285.91,1197.32,1197.32,10,除外,72.88,62.28,2.1,68.16,1346.32,1172.52,1170.51,+1.74σ,1.13,2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,1400.0,1787.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/4475.T
