シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-13,6969,松尾電機,スタンダード,1055.0,10.01,-6.39,-12.95,-4.17,1.05,105.44,1261.0,1099.0,988.0,1261.0,1261.0,959.0,901.0,999.38,916.15,916.15,20,除外,31.79,63.23,8.09,44.44,1100.96,1464.17,1126.56,-0.33σ,6.2,陰線→陽線 / はらみ足 / 2～5日下落後の陽線,通常,買い,BB逆張り / 底固め / アンチ,3,0.0,896.84,1371.31,2.0,直近2～5日まで下落、RSI40以下から反転上昇、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,急騰済み（当日急騰）,https://finance.yahoo.co.jp/quote/6969.T
2026-08-13,6266,タツモ,プライム,3910.0,7.42,16.02,-14.72,-10.62,0.64,398.12,3910.0,4035.0,3780.0,4035.0,4035.0,3335.0,3335.0,3681.24,3144.72,3144.72,15,除外,45.45,36.06,5.1,46.25,4374.6,4042.52,2996.18,-0.57σ,1.52,陰線→陽線 / 2～5日下落後の陽線,強,買い,BB逆張り / アンチ,2,0.0,3312.82,5104.36,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転,急騰済み（3営業日急騰）,https://finance.yahoo.co.jp/quote/6266.T
2026-08-13,6976,太陽誘電,プライム,10935.0,6.53,12.74,-2.06,-3.63,1.06,1425.74,10265.0,11680.0,10175.0,11680.0,11680.0,9167.0,8601.0,9634.94,8492.68,8492.68,15,除外,70.35,45.56,9.26,46.06,11346.96,12739.13,7261.59,+0.14σ,1.33,2～5日下落後の陽線,なし,買い,底固め,1,0.0,8796.4,15212.21,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、ATR低下、BB幅収縮、RSI安値切り上げ,急騰済み（3営業日急騰）,https://finance.yahoo.co.jp/quote/6976.T
2026-08-13,2120,ＬＩＦＵＬＬ,プライム,222.0,5.21,6.73,7.77,9.25,3.2,5.93,214.0,223.0,204.0,223.0,223.0,202.0,192.0,197.53,191.37,191.37,12,除外,95.24,88.17,9.18,78.14,203.2,196.04,190.97,+2.97σ,3.69,強気包み足 / 前日安値割れ反転,強,買い,底固め / アンチ,2,0.0,202.0,262.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/2120.T
2026-08-13,4674,クレスコ,プライム,1898.0,2.32,5.15,14.68,16.67,1.49,51.1,1877.0,1904.0,1828.0,1904.0,1904.0,1620.0,1521.0,1532.72,1416.83,1416.83,12,除外,97.89,84.94,2.46,82.38,1626.8,1532.59,1566.9,+2.15σ,2.11,陰線→陽線 / 強気包み足 / 前日安値割れ反転,通常,買い,底固め / アンチ,2,0.0,1620.0,2454.0,2.0,%K反転、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/4674.T
2026-08-13,7979,松風,プライム,2410.0,5.24,5.84,9.45,11.17,2.09,73.09,2317.0,2420.0,2267.0,2420.0,2420.0,2209.0,2017.0,2104.74,2022.24,2022.24,12,除外,97.15,69.3,15.04,72.96,2167.76,1966.93,1874.06,+2.70σ,1.79,陰線→陽線 / 強気包み足 / 前日安値割れ反転,通常,買い,底固め / アンチ,2,0.0,2209.0,2812.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/7979.T
2026-08-13,5208,有沢製作所,プライム,2900.0,9.06,5.45,5.07,13.99,1.33,133.41,2686.0,2909.0,2732.0,2909.0,2909.0,2586.0,2249.0,2405.05,2250.35,2250.35,12,除外,98.06,72.54,10.48,64.7,2544.0,2463.24,2175.66,+2.20σ,1.52,2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,2586.0,3528.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、25日線上方乖離）,https://finance.yahoo.co.jp/quote/5208.T
2026-08-13,6330,東洋エンジニアリング,プライム,2500.0,10.13,20.66,18.76,25.15,1.99,142.93,2349.0,2500.0,2216.0,2500.0,2500.0,1978.0,1712.0,1834.67,1661.73,1661.73,12,除外,100.0,64.28,7.68,68.79,1997.6,2060.59,2847.86,+2.85σ,2.09,陰線→陽線 / 強気包み足 / 前日安値割れ反転,通常,買い,底固め / アンチ,2,0.0,1978.0,3544.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、3営業日急騰、5営業日急騰、25日線上方乖離、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/6330.T
2026-08-13,6951,日本電子,プライム,9002.0,5.97,8.44,3.19,10.28,1.02,355.23,8495.0,9030.0,8667.0,9030.0,9030.0,8264.0,7537.0,7984.8,7668.55,7668.55,12,除外,97.01,70.1,14.4,65.22,8162.52,7303.43,6268.61,+2.22σ,1.48,2～5日下落後の陽線,なし,買い,底固め,1,0.0,8264.0,10478.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、BB幅収縮、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/6951.T
2026-08-13,7059,コプロ・ホールディングス,プライム,928.0,14.0,15.14,13.73,14.73,1.92,21.88,822.0,928.0,886.0,928.0,928.0,799.0,783.0,786.76,759.82,759.82,12,除外,100.0,59.83,0.1,80.24,808.88,790.45,907.01,+4.24σ,10.26,2～5日下落後の陽線,なし,買い,底固め,1,0.0,799.0,1186.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、3営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/7059.T
