シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-20,4375,セーフィー,グロース,670.0,8.59,0.45,7.2,2.99,1.77,24.87,655.0,670.0,626.0,670.0,673.0,613.0,613.0,634.42,619.9,619.9,16,除外,95.0,45.8,0.38,54.65,650.52,674.15,767.27,+1.45σ,1.44,陰線→陽線 / 2～5日下落後の陽線,強,買い,BB逆張り / アンチ,2,0.0,613.0,784.0,2.0,直近2～5日まで下落、BB -2σ付近から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰）,https://finance.yahoo.co.jp/quote/4375.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,16.0,0,0,16.0,57,57,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,グロース,244.0,25.77,15.64,14.55,18.35,2.12,24.49,207.0,244.0,192.0,244.0,244.0,190.0,158.0,193.97,176.55,176.55,16,除外,100.0,35.99,4.8,61.8,206.16,159.51,201.28,+1.87σ,2.79,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,強,買い,アンチ,1,0.0,190.0,352.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、3営業日急騰、25日線上方乖離、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/5240.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,16.0,0,0,16.0,57,57,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,4570,免疫生物研究所,グロース,1098.0,9.91,3.0,5.07,11.74,1.62,49.96,1047.0,1117.0,1036.0,1117.0,1117.0,992.0,895.0,931.17,879.89,879.89,15,除外,85.27,69.85,-2.86,63.42,982.6,1036.23,1311.64,+2.25σ,4.57,陰線→陽線 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,992.0,1310.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4570.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,88,88,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6098,リクルートホールディングス,プライム,16145.0,2.57,-1.43,-3.84,16.92,1.19,615.91,16240.0,16260.0,15530.0,16260.0,16545.0,15530.0,11905.0,12277.3,10456.35,10456.35,15,除外,42.41,73.64,1.03,71.21,13808.2,11564.72,9127.64,+1.12σ,0.64,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,アンチ,1,0.0,15221.14,17992.72,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/6098.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,88,88,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6523,ＰＨＣホールディングス,プライム,1486.0,5.69,6.52,5.39,23.7,1.76,55.15,1460.0,1497.0,1400.0,1497.0,1497.0,1382.0,1037.0,1073.33,919.31,919.31,15,除外,94.05,87.34,15.6,79.19,1201.28,1095.48,1077.82,+1.68σ,1.28,陰線→陽線 / 強気包み足 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,1382.0,1694.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、2～5日下落後の陽線、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/6523.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,88,88,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,1514,住石ホールディングス,スタンダード,677.0,6.11,4.96,5.78,11.83,1.34,25.35,666.0,679.0,645.0,679.0,679.0,632.0,557.0,579.69,548.34,548.34,12,除外,96.83,83.65,3.27,68.56,605.4,595.33,682.6,+2.10σ,1.36,陰線→陽線 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,632.0,767.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/1514.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,200,200,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,9503,関西電力,プライム,2557.5,8.37,6.85,6.58,6.96,1.48,63.98,2403.0,2576.5,2481.5,2576.5,2576.5,2331.0,2331.0,2356.87,2307.86,2307.86,12,除外,92.26,48.8,7.15,68.82,2391.06,2341.02,2461.13,+3.09σ,2.43,陰線→陽線 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,2331.0,3010.5,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、BB幅収縮、出来高減少後の増加、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/9503.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,200,200,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,3350,メタプラネット,スタンダード,253.0,16.06,16.59,13.45,10.89,0.9,17.74,239.0,261.0,245.0,261.0,261.0,210.0,210.0,215.29,205.18,205.18,12,除外,84.31,46.64,9.47,58.63,228.16,252.0,339.94,+2.73σ,3.03,陰線→陽線 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,210.0,339.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、BB幅収縮、出来高減少後の増加、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、3営業日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3350.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,200,200,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード,1370.0,13.22,3.63,0.15,6.91,1.22,129.66,1280.0,1378.0,1220.0,1378.0,1378.0,1185.0,1162.0,1238.02,1146.49,1146.49,12,除外,49.2,41.39,-5.86,57.11,1281.4,1025.77,869.2,+0.44σ,0.53,陰線→陽線 / 2～5日下落後の陽線,なし,買い,BB逆張り,1,0.0,1175.51,1758.98,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰）,https://finance.yahoo.co.jp/quote/2354.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,200,200,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-20,6085,アーキテクツ・スタジオ・ジャパン,グロース,100.0,16.28,25.0,26.58,-3.44,1.04,16.42,101.0,100.0,83.0,101.0,101.0,76.0,68.0,74.12,59.89,59.89,12,除外,96.0,52.19,18.72,41.84,103.56,277.56,194.73,+0.82σ,1.5,陰線→陽線 / 前日安値割れ反転,強,買い,底固め / アンチ,2,0.0,75.37,149.26,2.0,RSI40以下から反転上昇、%K反転、%D方向改善、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、ATR低下、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、3営業日急騰、5営業日急騰）,https://finance.yahoo.co.jp/quote/6085.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,200,200,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
