シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,ATR14,前日高値,反転足高値,反転足安値,直近2日高値,直近3日高値,直近安値,直近支持線,BB-1σ,BB-2σ,BB下限,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク,売残,買残,売残前週比,買残前週比,信用倍率,基準日,取得元URL,取得日時,テクニカルスコア,信用需給による減点,信用需給スコア,総合調整後スコア,テクニカル順位,調整後順位,信用需給判定,信用需給判定理由
2026-08-19,9722,藤田観光,プライム,2441.0,5.58,4.63,4.49,17.58,1.57,86.59,2342.0,2442.0,2306.0,2442.0,2442.0,2297.0,1900.0,1928.11,1741.46,1741.46,15,除外,99.45,72.52,10.43,76.07,2076.0,1939.24,2180.64,+1.75σ,1.53,陰線→陽線 / 強気包み足 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,2297.0,2729.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/9722.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,15.0,0,0,15.0,12,12,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,3284,フージャースホールディングス,プライム,1307.0,0.31,0.85,3.48,4.54,0.98,19.35,1305.0,1307.0,1288.0,1307.0,1307.0,1260.0,1209.0,1222.97,1192.63,1192.63,12,除外,100.0,68.45,25.33,72.32,1250.28,1203.53,1254.84,+1.77σ,1.53,強気包み足 / 長い下ヒゲ（ハンマー） / 前日安値割れ反転,なし,買い,底固め,1,0.0,1260.0,1401.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/3284.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,26,26,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,4418,ＪＤＳＣ,グロース,1029.0,6.08,20.77,29.43,21.93,1.82,56.62,1008.0,1043.0,940.0,1043.0,1043.0,790.0,728.0,753.17,680.35,680.35,12,除外,94.85,69.64,10.95,75.33,843.96,759.39,965.58,+2.79σ,2.47,強気包み足 / 前日安値割れ反転,なし,買い,底固め,1,0.0,790.0,1507.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（3営業日急騰、5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4418.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,26,26,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,8614,東洋証券,プライム,699.0,2.49,2.04,4.48,4.05,1.79,16.22,689.0,701.0,672.0,701.0,701.0,669.0,633.0,662.29,651.19,651.19,12,除外,94.44,76.81,8.32,65.54,671.8,638.35,661.24,+2.31σ,2.17,陰線→陽線 / 強気包み足 / 前日安値割れ反転,強,買い,底固め / アンチ,2,0.0,669.0,759.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8614.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,26,26,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,8622,水戸証券,プライム,886.0,2.19,2.78,4.24,9.97,1.56,27.59,881.0,897.0,854.0,897.0,897.0,844.0,754.0,791.65,756.66,756.66,12,除外,80.7,79.31,-1.03,75.89,805.68,704.93,646.14,+1.70σ,1.7,強気包み足 / 前日安値割れ反転,なし,買い,底固め,1,0.0,844.0,970.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（高RSI）,https://finance.yahoo.co.jp/quote/8622.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,12.0,0,0,12.0,26,26,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,3856,Ａｂａｌａｎｃｅ,スタンダード,460.0,21.05,32.56,27.07,5.92,2.92,34.9,386.0,460.0,358.0,460.0,460.0,336.0,306.0,342.19,265.83,265.83,11,除外,100.0,46.28,21.99,56.07,434.28,489.81,574.01,+0.54σ,1.27,強気包み足 / 前日安値割れ反転,なし,買い,底固め,1,0.0,336.0,708.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、直近下落なし（B以下に制限）、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（当日急騰、3営業日急騰、5営業日急騰、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/3856.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,11.0,0,0,11.0,39,39,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,4392,ＦＩＧ,プライム,1403.0,5.89,33.62,59.79,39.76,1.8,117.61,1377.0,1423.0,1211.0,1423.0,1423.0,896.0,811.0,825.5,665.64,665.64,11,除外,96.73,79.22,21.7,71.96,1003.84,1182.92,643.43,+2.61σ,3.74,強気包み足,なし,買い,底固め,1,0.0,896.0,2417.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（3営業日急騰、5営業日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4392.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,11.0,0,0,11.0,39,39,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,8789,フィンテック　グローバル,スタンダード,167.0,1.83,8.44,21.01,21.23,0.96,4.18,165.0,168.0,164.0,168.0,168.0,142.0,129.0,127.42,115.4,115.4,11,除外,96.97,90.8,8.22,89.26,137.76,130.63,134.05,+2.29σ,1.98,強気包み足,なし,買い,底固め,1,0.0,142.0,217.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8789.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,11.0,0,0,11.0,39,39,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,9425,ＲｅＹｕｕ　Ｊａｐａｎ,スタンダード,247.0,7.39,20.49,21.08,19.62,1.86,21.01,251.0,260.0,221.0,260.0,260.0,198.0,180.0,188.7,173.44,173.44,11,除外,83.12,57.28,13.76,63.59,206.48,213.76,339.2,+2.82σ,3.49,強気包み足,なし,買い,底固め,1,0.0,198.0,345.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、ATR低下、BB幅収縮、RSI安値切り上げ / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（3営業日急騰、5営業日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/9425.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,11.0,0,0,11.0,39,39,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
2026-08-19,3907,シリコンスタジオ,スタンダード,1577.0,3.21,-1.13,-2.53,31.64,1.12,203.49,1570.0,1684.0,1457.0,1684.0,1684.0,1390.0,904.0,1068.96,819.41,819.41,10,除外,36.67,59.62,0.02,60.75,1198.0,1070.08,858.64,+1.04σ,0.52,強気包み足 / 2～5日下落後の陽線,通常,買い,アンチ,1,0.0,1271.76,2187.47,2.0,直近2～5日まで下落、%K反転、陽の包み足、2～5日下落後の陽線 / 信用需給: 信用データがデータなし、または売残0で信用倍率を算出不能,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/3907.T,データなし,データなし,データなし,データなし,データなし,データなし,データなし,データなし,10.0,0,0,10.0,54,54,信用需給は判定不能,信用データがデータなし、または売残0で信用倍率を算出不能
