シグナル日,コード,注文方式,約定,約定価格,1日後損益,3日後損益,5日後損益,10日後損益,MFE,MAE,未約定後最大上昇率,未約定後最大下落率
2026-08-14,9984,market,True,5750.0,2.365217391304353,,,,8.347826086956523,-1.6869565217391358,,
2026-08-14,9984,limit,True,5750.0,2.365217391304353,,,,8.347826086956523,-1.6869565217391358,,
2026-08-14,9984,stop,True,5799.576,1.4901779026604611,,,,7.421645996190063,-2.5273571723174237,,
2026-08-14,4385,market,True,4831.0,-4.574622231422065,,,,1.2833781825708934,-7.410474021941626,,
2026-08-14,4385,limit,True,4787.0,-3.6975141006893697,,,,2.214330478378934,-6.559431794443283,,
2026-08-14,4385,stop,True,4831.0,-4.574622231422065,,,,1.2833781825708934,-7.410474021941626,,
2026-08-14,5842,market,True,3060.0,0.6535947712418277,,,,2.450980392156854,-2.9738562091503273,,
2026-08-14,5842,limit,True,3005.0,2.4958402662229595,,,,4.3261231281197965,-1.1980033277870228,,
2026-08-14,5842,stop,True,3060.0,0.6535947712418277,,,,2.450980392156854,-2.9738562091503273,,
2026-08-14,6287,market,True,2785.0,0.2872531418312452,,,,2.9443447037702075,-0.789946140035902,,
2026-08-14,6287,limit,True,2779.0,0.14393666786614023,,,,0.7556675062972307,-0.5757466714645609,,
2026-08-14,6287,stop,True,2785.0,0.2872531418312452,,,,2.9443447037702075,-0.789946140035902,,
2026-08-13,4180,market,True,1132.0,0.0,12.45583038869258,,,19.522968197879862,0.0,,
2026-08-13,4180,limit,False,,,,,,,,37.78004073319756,15.274949083503063
2026-08-13,4180,stop,False,,,,,,,,37.78004073319756,15.274949083503063
2026-08-14,2749,market,True,647.0,-0.6182380216383287,,,,2.0092735703245657,-1.391035548686248,,
2026-08-14,2749,limit,True,647.0,-0.6182380216383287,,,,2.0092735703245657,-1.391035548686248,,
2026-08-14,2749,stop,True,651.3,-1.2743743282665365,,,,1.3357899585444644,-2.042069706740357,,
2026-08-14,6425,market,True,740.0,1.3513513513513598,,,,3.1081081081081097,-1.8918918918918948,,
2026-08-14,6425,limit,True,740.0,1.3513513513513598,,,,3.1081081081081097,-1.8918918918918948,,
2026-08-14,6425,stop,True,753.504,-0.4650273920244641,,,,1.2602454665137763,-3.6501465154796797,,
2026-08-14,6750,market,True,1921.0,-0.6246746486205157,,,,0.9890681936491452,-1.8219677251431587,,
2026-08-14,6750,limit,True,1921.0,-0.6246746486205157,,,,0.9890681936491452,-1.8219677251431587,,
2026-08-14,6750,stop,True,1939.872,-1.5914452087560482,,,,0.006598373500921184,-2.7770904472047664,,
2026-08-14,7936,market,True,5342.0,-3.6315986521901933,,,,1.8345189067764833,-8.498689629352308,,
2026-08-14,7936,limit,True,5219.0,-1.3604138723893433,,,,4.234527687296419,-6.342211151561605,,
2026-08-14,7936,stop,True,5342.0,-3.6315986521901933,,,,1.8345189067764833,-8.498689629352308,,
2026-08-14,2695,market,True,1680.0,0.4761904761904745,,,,1.4285714285714235,-1.0119047619047583,,
2026-08-14,2695,limit,True,1680.0,0.4761904761904745,,,,1.4285714285714235,-1.0119047619047583,,
2026-08-14,2695,stop,True,1688.37,-0.021914627717856128,,,,0.9257449492706016,-1.50263271676232,,
2026-08-14,6638,market,True,1981.0,-0.8076728924785503,,,,2.0191822311963703,-3.432609793033825,,
2026-08-14,6638,limit,True,1981.0,-0.8076728924785503,,,,2.0191822311963703,-3.432609793033825,,
2026-08-14,6638,stop,True,1993.98,-1.4533746577197415,,,,1.3550787871493108,-4.061224285098142,,
2026-08-14,6969,market,True,1089.0,-0.18365472910927272,,,,2.3875114784205786,-3.1221303948576695,,
2026-08-14,6969,limit,True,1067.0,0.18744142455482393,,,,4.02999062792877,-1.1246485473289547,,
2026-08-14,6969,stop,True,1089.0,-0.18365472910927272,,,,2.3875114784205786,-3.1221303948576695,,
2026-08-14,7138,market,True,124.0,1.6129032258064502,,,,4.8387096774193505,0.0,,
2026-08-14,7138,limit,True,124.0,1.6129032258064502,,,,4.8387096774193505,0.0,,
