シグナル日,コード,ランク,買い・売り,RSI14,出来高倍率,BB位置,ローソク足パターン,シグナル種別,1日後終値,2日後終値,3日後終値,5日後終値,10日後終値,20日後終値,1日後騰落率,2日後騰落率,3日後騰落率,5日後騰落率,10日後騰落率,20日後騰落率,期間中最高値,期間中最安値,最大上昇率,最大下落率,利確到達,損切り到達,5日損益率
2026-08-14,9432,B,買い,67.07,1.02,+1.93σ,強気包み足,底固め,161.5,160.39999389648438,159.39999389648438,,,,-0.7375537799631182,-1.4136484963218288,-2.028276646291094,,,,163.3000030517578,158.8000030517578,0.3687787656778241,-2.3970479091838803,False,False,
2026-08-14,9119,B,買い,64.58,0.84,+1.77σ,陰線→陽線 / 強気包み足,底固め,1645.0,1686.0,1660.0,,,,3.3291457286432236,5.904522613065333,4.271356783919589,,,,1697.0,1602.0,6.595477386934667,0.628140703517599,False,False,
2026-08-14,2492,除外,買い,68.42,0.9,+1.85σ,陰線→陽線 / 強気包み足,底固め,568.0,599.0,573.0,,,,-7.491856677524433,-2.442996742671011,-6.67752442996743,,,,617.0,564.0,0.48859934853420217,-8.143322475570036,False,False,
2026-08-14,8708,B,買い,65.99,0.89,+1.47σ,強気包み足,底固め,1715.0,1724.0,1724.0,,,,-0.8670520231213841,-0.3468208092485603,-0.3468208092485603,,,,1756.0,1706.0,1.5028901734104094,-1.387283236994219,False,False,
2026-08-14,6986,除外,買い,74.3,0.99,+1.86σ,強気包み足,底固め,686.0,670.0,677.0,,,,3.003003003003002,0.6006006006006093,1.6516516516516422,,,,696.0,650.0,4.504504504504503,-2.4024024024024038,False,False,
2026-08-14,6196,B,買い,54.2,1.0,+0.34σ,強気包み足,底固め,1344.0,1329.0,1306.0,,,,0.14903129657228842,-0.9687034277198192,-2.682563338301047,,,,1344.0,1300.0,0.14903129657228842,-3.129657228017879,False,False,
2026-08-14,6232,B,買い,49.8,0.77,+0.34σ,陰線→陽線 / 長い下ヒゲ（ハンマー） / 前日安値割れ反転 / 2～5日下落後の陽線,底固め,1766.0,1719.0,1656.0,,,,1.4359563469270586,-1.263641585295805,-4.882251579551977,,,,1796.0,1636.0,3.159103963239507,-6.031016657093624,False,False,
2026-08-14,6254,B,買い,45.28,0.77,-0.47σ,はらみ足,アンチ,3960.0,3770.0,3500.0,,,,1.538461538461533,-3.3333333333333326,-10.256410256410254,,,,3990.0,3470.0,2.3076923076922995,-11.02564102564103,False,False,
2026-08-14,6306,B,買い,69.09,1.18,+1.95σ,強気包み足,底固め,1026.0,1026.0,1018.0,,,,1.183431952662728,1.183431952662728,0.39447731755424265,,,,1034.0,1001.0,1.9723865877712132,-1.2820512820512775,False,False,
2026-08-14,3946,B,買い,69.21,0.76,+1.64σ,強気包み足,底固め,4715.0,4720.0,4630.0,,,,0.5330490405117239,0.6396588486140775,-1.279317697228144,,,,4775.0,4595.0,1.8123667377398789,-2.025586353944564,False,False,
2026-08-14,6859,B,買い,56.78,0.49,+1.01σ,強気包み足,底固め,4285.0,4150.0,3855.0,,,,1.0613207547169878,-2.1226415094339646,-9.080188679245282,,,,4285.0,3830.0,1.0613207547169878,-9.669811320754718,False,True,
2026-08-14,6958,除外,買い,70.31,1.03,+2.16σ,強気包み足,底固め,778.0,762.0,716.0,,,,-0.6385696040868472,-2.6819923371647514,-8.556832694763727,,,,807.0,714.0,3.065134099616862,-8.812260536398464,False,False,
2026-08-14,4246,除外,買い,78.04,0.77,+2.17σ,強気包み足,底固め,1130.0,1143.0,1087.0,,,,0.2661934338952898,1.419698314108242,-3.549245785270627,,,,1150.0,1085.0,2.0408163265306145,-3.7267080745341574,False,False,
2026-08-14,4194,B,買い,64.94,0.86,+1.65σ,強気包み足,底固め,9064.0,9081.0,9037.0,,,,-3.0277094254841153,-2.845832887557509,-3.316572162191078,,,,9276.0,8941.0,-0.7596020113405322,-4.3436396704825135,False,False,
