date,time,indicator,current,previous_close,change,change_pct,short_change_pct,change_bp,score,market_regime,total_score
2026-08-15,01:30:35,NIKKEI_FUTURES,68600.0,69200.0,-600.0,-0.8670520231213841,2.235469448584193,,-1,警戒,-2.25
2026-08-15,01:30:35,SP500,7788.5,7798.990234375,-10.490234375,-0.13450759726256756,0.7802567630698087,,0,警戒,-2.25
2026-08-15,01:30:35,NASDAQ,26717.693359375,26803.029296875,-85.3359375,-0.31838168945309553,1.0294555345725653,,0,警戒,-2.25
2026-08-15,01:30:35,SOX,12347.6064453125,12456.0,-108.3935546875,-0.8702115822695866,2.0592415766682803,,-1,警戒,-2.25
2026-08-15,01:30:35,VIX,14.63,14.55,0.08000000000000007,0.5498281786941561,-5.368693402328595,,0,警戒,-2.25
2026-08-15,01:30:35,USDJPY,159.33700561523438,159.3280029296875,0.009002685546875,0.005650410085689117,0.11372474125752596,,0,警戒,-2.25
2026-08-15,01:30:35,US10Y,4.68,4.7,-0.020000000000000462,-0.42553191489362874,0.6451612903225712,-2.000000000000046,0,警戒,-2.25
2026-08-15,01:30:35,GOLD,4450.0,4363.60009765625,86.39990234375,1.9800142178509006,1.5286333561487675,,1,警戒,-2.25
